"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",1,1,0
"4",1,1,1
"5",2,1,0
"6",2,2,0
"7",2,1,1
"8",2,2,1
"9",2,2,2
"10",0,0,0
