"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",4,0,0,0,0
"5",1,1,0,0,0
"6",1,1,1,0,0
"7",1,1,0,1,0
"8",1,1,1,1,1
"9",2,1,0,0,0
"10",2,2,0,0,0
"11",2,1,1,0,0
"12",2,1,0,1,0
"13",2,1,1,1,1
"14",3,1,0,0,0
"15",3,2,0,0,0
"16",3,3,0,0,0
"17",3,1,1,0,0
"18",3,1,0,1,0
"19",3,1,1,1,1
"20",4,1,0,0,0
"21",4,2,0,0,0
"22",4,3,0,0,0
"23",4,4,0,0,0
"24",4,1,1,0,0
"25",4,1,0,1,0
"26",4,1,1,1,1
"27",2,2,1,0,0
"28",2,2,2,0,0
"29",2,2,0,1,0
"30",2,2,0,2,0
"31",2,2,1,1,1
"32",3,2,1,0,0
"33",3,2,2,0,0
"34",3,2,0,1,0
"35",3,2,0,2,0
"36",3,2,1,1,1
"37",4,2,1,0,0
"38",4,2,2,0,0
"39",4,2,0,1,0
"40",4,2,0,2,0
"41",4,2,1,1,1
"42",3,3,1,0,0
"43",3,3,2,0,0
"44",3,3,3,0,0
"45",3,3,0,1,0
"46",3,3,0,2,0
"47",3,3,0,3,0
"48",3,3,1,1,1
"49",4,3,1,0,0
"50",4,3,2,0,0
"51",4,3,3,0,0
"52",4,3,0,1,0
"53",4,3,0,2,0
"54",4,3,0,3,0
"55",4,3,1,1,1
"56",4,4,1,0,0
"57",4,4,2,0,0
"58",4,4,3,0,0
"59",4,4,4,0,0
"60",4,4,0,1,0
"61",4,4,0,2,0
"62",4,4,0,3,0
"63",4,4,0,4,0
"64",4,4,1,1,1
"65",1,1,1,1,0
"66",2,1,1,1,0
"67",3,1,1,1,0
"68",4,1,1,1,0
"69",2,2,1,1,0
"70",2,2,1,2,0
"71",3,2,1,1,0
"72",3,2,1,2,0
"73",4,2,1,1,0
"74",4,2,1,2,0
"75",3,3,1,1,0
"76",3,3,1,2,0
"77",3,3,1,3,0
"78",4,3,1,1,0
"79",4,3,1,2,0
"80",4,3,1,3,0
"81",4,4,1,1,0
"82",4,4,1,2,0
"83",4,4,1,3,0
"84",4,4,1,4,0
"85",2,2,2,1,0
"86",2,2,2,2,0
"87",2,2,2,1,1
"88",3,2,2,1,0
"89",3,2,2,2,0
"90",3,2,2,1,1
"91",4,2,2,1,0
"92",4,2,2,2,0
"93",4,2,2,1,1
"94",3,3,2,1,0
"95",3,3,2,2,0
"96",3,3,2,3,0
"97",3,3,2,1,1
"98",4,3,2,1,0
"99",4,3,2,2,0
"100",4,3,2,3,0
"101",4,3,2,1,1
"102",4,4,2,1,0
"103",4,4,2,2,0
"104",4,4,2,3,0
"105",4,4,2,4,0
"106",4,4,2,1,1
"107",3,3,3,1,0
"108",3,3,3,2,0
"109",3,3,3,3,0
"110",3,3,3,1,1
"111",4,3,3,1,0
"112",4,3,3,2,0
"113",4,3,3,3,0
"114",4,3,3,1,1
"115",4,4,3,1,0
"116",4,4,3,2,0
"117",4,4,3,3,0
"118",4,4,3,4,0
"119",4,4,3,1,1
"120",4,4,4,1,0
"121",4,4,4,2,0
"122",4,4,4,3,0
"123",4,4,4,4,0
"124",4,4,4,1,1
"125",2,2,1,2,1
"126",3,2,1,2,1
"127",4,2,1,2,1
"128",3,3,1,2,1
"129",4,3,1,2,1
"130",4,4,1,2,1
"131",2,2,2,2,1
"132",2,2,2,2,2
"133",3,2,2,2,1
"134",3,2,2,2,2
"135",4,2,2,2,1
"136",4,2,2,2,2
"137",3,3,2,2,1
"138",3,3,2,2,2
"139",4,3,2,2,1
"140",4,3,2,2,2
"141",4,4,2,2,1
"142",4,4,2,2,2
"143",3,3,3,2,1
"144",3,3,3,2,2
"145",4,3,3,2,1
"146",4,3,3,2,2
"147",4,4,3,2,1
"148",4,4,3,2,2
"149",4,4,4,2,1
"150",4,4,4,2,2
"151",3,3,1,3,1
"152",4,3,1,3,1
"153",4,4,1,3,1
"154",3,3,2,3,1
"155",3,3,2,3,2
"156",4,3,2,3,1
"157",4,3,2,3,2
"158",4,4,2,3,1
"159",4,4,2,3,2
"160",3,3,3,3,1
"161",3,3,3,3,2
"162",3,3,3,3,3
"163",4,3,3,3,1
"164",4,3,3,3,2
"165",4,3,3,3,3
"166",4,4,3,3,1
"167",4,4,3,3,2
"168",4,4,3,3,3
"169",4,4,4,3,1
"170",4,4,4,3,2
"171",4,4,4,3,3
"172",4,4,1,4,1
"173",4,4,2,4,1
"174",4,4,2,4,2
"175",4,4,3,4,1
"176",4,4,3,4,2
"177",4,4,3,4,3
"178",4,4,4,4,1
"179",4,4,4,4,2
"180",4,4,4,4,3
"181",4,4,4,4,4
"182",0,0,0,0,0
