"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",4,0,0,0,0
"5",1,1,0,0,0
"6",1,1,1,0,0
"7",1,1,1,1,0
"8",1,1,1,1,1
"9",2,1,0,0,0
"10",2,2,0,0,0
"11",2,1,1,0,0
"12",2,1,1,1,0
"13",2,1,1,1,1
"14",3,1,0,0,0
"15",3,2,0,0,0
"16",3,3,0,0,0
"17",3,1,1,0,0
"18",3,1,1,1,0
"19",3,1,1,1,1
"20",4,1,0,0,0
"21",4,2,0,0,0
"22",4,3,0,0,0
"23",4,4,0,0,0
"24",4,1,1,0,0
"25",4,1,1,1,0
"26",4,1,1,1,1
"27",2,2,1,0,0
"28",2,2,2,0,0
"29",2,2,1,1,0
"30",2,2,1,1,1
"31",3,2,1,0,0
"32",3,2,2,0,0
"33",3,2,1,1,0
"34",3,2,1,1,1
"35",4,2,1,0,0
"36",4,2,2,0,0
"37",4,2,1,1,0
"38",4,2,1,1,1
"39",3,3,1,0,0
"40",3,3,2,0,0
"41",3,3,3,0,0
"42",3,3,1,1,0
"43",3,3,1,1,1
"44",4,3,1,0,0
"45",4,3,2,0,0
"46",4,3,3,0,0
"47",4,3,1,1,0
"48",4,3,1,1,1
"49",4,4,1,0,0
"50",4,4,2,0,0
"51",4,4,3,0,0
"52",4,4,4,0,0
"53",4,4,1,1,0
"54",4,4,1,1,1
"55",2,2,2,1,0
"56",2,2,2,2,0
"57",2,2,2,1,1
"58",3,2,2,1,0
"59",3,2,2,2,0
"60",3,2,2,1,1
"61",4,2,2,1,0
"62",4,2,2,2,0
"63",4,2,2,1,1
"64",3,3,2,1,0
"65",3,3,2,2,0
"66",3,3,2,1,1
"67",4,3,2,1,0
"68",4,3,2,2,0
"69",4,3,2,1,1
"70",4,4,2,1,0
"71",4,4,2,2,0
"72",4,4,2,1,1
"73",3,3,3,1,0
"74",3,3,3,2,0
"75",3,3,3,3,0
"76",3,3,3,1,1
"77",4,3,3,1,0
"78",4,3,3,2,0
"79",4,3,3,3,0
"80",4,3,3,1,1
"81",4,4,3,1,0
"82",4,4,3,2,0
"83",4,4,3,3,0
"84",4,4,3,1,1
"85",4,4,4,1,0
"86",4,4,4,2,0
"87",4,4,4,3,0
"88",4,4,4,4,0
"89",4,4,4,1,1
"90",2,2,2,2,1
"91",2,2,2,2,2
"92",3,2,2,2,1
"93",3,2,2,2,2
"94",4,2,2,2,1
"95",4,2,2,2,2
"96",3,3,2,2,1
"97",3,3,2,2,2
"98",4,3,2,2,1
"99",4,3,2,2,2
"100",4,4,2,2,1
"101",4,4,2,2,2
"102",3,3,3,2,1
"103",3,3,3,2,2
"104",4,3,3,2,1
"105",4,3,3,2,2
"106",4,4,3,2,1
"107",4,4,3,2,2
"108",4,4,4,2,1
"109",4,4,4,2,2
"110",3,3,3,3,1
"111",3,3,3,3,2
"112",3,3,3,3,3
"113",4,3,3,3,1
"114",4,3,3,3,2
"115",4,3,3,3,3
"116",4,4,3,3,1
"117",4,4,3,3,2
"118",4,4,3,3,3
"119",4,4,4,3,1
"120",4,4,4,3,2
"121",4,4,4,3,3
"122",4,4,4,4,1
"123",4,4,4,4,2
"124",4,4,4,4,3
"125",4,4,4,4,4
"126",0,0,0,0,0
