"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",1,1,0
"5",1,1,1
"6",2,1,0
"7",2,2,0
"8",2,1,1
"9",3,1,0
"10",3,2,0
"11",3,3,0
"12",3,1,1
"13",2,2,1
"14",2,2,2
"15",3,2,1
"16",3,2,2
"17",3,3,1
"18",3,3,2
"19",3,3,3
"20",0,0,0
