"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",1,1,0,0,0
"5",1,0,1,0,0
"6",1,0,1,1,0
"7",1,0,1,0,1
"8",2,1,0,0,0
"9",2,2,0,0,0
"10",2,0,1,0,0
"11",2,0,2,0,0
"12",2,0,1,1,0
"13",2,0,1,0,1
"14",3,1,0,0,0
"15",3,2,0,0,0
"16",3,3,0,0,0
"17",3,0,1,0,0
"18",3,0,2,0,0
"19",3,0,3,0,0
"20",3,0,1,1,0
"21",3,0,1,0,1
"22",1,1,1,0,0
"23",1,1,1,1,0
"24",1,1,1,0,1
"25",2,1,1,0,0
"26",2,1,2,0,0
"27",2,1,1,1,0
"28",2,1,1,0,1
"29",3,1,1,0,0
"30",3,1,2,0,0
"31",3,1,3,0,0
"32",3,1,1,1,0
"33",3,1,1,0,1
"34",2,2,1,0,0
"35",2,2,2,0,0
"36",2,2,1,1,0
"37",2,2,1,0,1
"38",3,2,1,0,0
"39",3,2,2,0,0
"40",3,2,3,0,0
"41",3,2,1,1,0
"42",3,2,1,0,1
"43",3,3,1,0,0
"44",3,3,2,0,0
"45",3,3,3,0,0
"46",3,3,1,1,0
"47",3,3,1,0,1
"48",2,0,2,1,0
"49",2,0,2,2,0
"50",2,0,2,0,1
"51",2,0,2,0,2
"52",3,0,2,1,0
"53",3,0,2,2,0
"54",3,0,2,0,1
"55",3,0,2,0,2
"56",2,1,2,1,0
"57",2,1,2,2,0
"58",2,1,2,0,1
"59",2,1,2,0,2
"60",3,1,2,1,0
"61",3,1,2,2,0
"62",3,1,2,0,1
"63",3,1,2,0,2
"64",2,2,2,1,0
"65",2,2,2,2,0
"66",2,2,2,0,1
"67",2,2,2,0,2
"68",3,2,2,1,0
"69",3,2,2,2,0
"70",3,2,2,0,1
"71",3,2,2,0,2
"72",3,3,2,1,0
"73",3,3,2,2,0
"74",3,3,2,0,1
"75",3,3,2,0,2
"76",3,0,3,1,0
"77",3,0,3,2,0
"78",3,0,3,3,0
"79",3,0,3,0,1
"80",3,0,3,0,2
"81",3,0,3,0,3
"82",3,1,3,1,0
"83",3,1,3,2,0
"84",3,1,3,3,0
"85",3,1,3,0,1
"86",3,1,3,0,2
"87",3,1,3,0,3
"88",3,2,3,1,0
"89",3,2,3,2,0
"90",3,2,3,3,0
"91",3,2,3,0,1
"92",3,2,3,0,2
"93",3,2,3,0,3
"94",3,3,3,1,0
"95",3,3,3,2,0
"96",3,3,3,3,0
"97",3,3,3,0,1
"98",3,3,3,0,2
"99",3,3,3,0,3
"100",1,0,1,1,1
"101",2,0,1,1,1
"102",3,0,1,1,1
"103",1,1,1,1,1
"104",2,1,1,1,1
"105",3,1,1,1,1
"106",2,2,1,1,1
"107",3,2,1,1,1
"108",3,3,1,1,1
"109",2,0,2,1,1
"110",2,0,2,1,2
"111",3,0,2,1,1
"112",3,0,2,1,2
"113",2,1,2,1,1
"114",2,1,2,1,2
"115",3,1,2,1,1
"116",3,1,2,1,2
"117",2,2,2,1,1
"118",2,2,2,1,2
"119",3,2,2,1,1
"120",3,2,2,1,2
"121",3,3,2,1,1
"122",3,3,2,1,2
"123",3,0,3,1,1
"124",3,0,3,1,2
"125",3,0,3,1,3
"126",3,1,3,1,1
"127",3,1,3,1,2
"128",3,1,3,1,3
"129",3,2,3,1,1
"130",3,2,3,1,2
"131",3,2,3,1,3
"132",3,3,3,1,1
"133",3,3,3,1,2
"134",3,3,3,1,3
"135",2,0,2,2,1
"136",2,0,2,2,2
"137",3,0,2,2,1
"138",3,0,2,2,2
"139",2,1,2,2,1
"140",2,1,2,2,2
"141",3,1,2,2,1
"142",3,1,2,2,2
"143",2,2,2,2,1
"144",2,2,2,2,2
"145",3,2,2,2,1
"146",3,2,2,2,2
"147",3,3,2,2,1
"148",3,3,2,2,2
"149",3,0,3,2,1
"150",3,0,3,2,2
"151",3,0,3,2,3
"152",3,1,3,2,1
"153",3,1,3,2,2
"154",3,1,3,2,3
"155",3,2,3,2,1
"156",3,2,3,2,2
"157",3,2,3,2,3
"158",3,3,3,2,1
"159",3,3,3,2,2
"160",3,3,3,2,3
"161",3,0,3,3,1
"162",3,0,3,3,2
"163",3,0,3,3,3
"164",3,1,3,3,1
"165",3,1,3,3,2
"166",3,1,3,3,3
"167",3,2,3,3,1
"168",3,2,3,3,2
"169",3,2,3,3,3
"170",3,3,3,3,1
"171",3,3,3,3,2
"172",3,3,3,3,3
"173",0,0,0,0,0
