"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",1,1,0
"4",1,0,1
"5",2,1,0
"6",2,2,0
"7",2,0,1
"8",2,0,2
"9",1,1,1
"10",2,1,1
"11",2,1,2
"12",2,2,1
"13",2,2,2
"14",0,0,0
