"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",4,0,0,0,0
"5",1,1,0,0,0
"6",1,0,1,0,0
"7",1,0,1,1,0
"8",1,0,1,0,1
"9",2,1,0,0,0
"10",2,2,0,0,0
"11",2,0,1,0,0
"12",2,0,2,0,0
"13",2,0,1,1,0
"14",2,0,1,0,1
"15",3,1,0,0,0
"16",3,2,0,0,0
"17",3,3,0,0,0
"18",3,0,1,0,0
"19",3,0,2,0,0
"20",3,0,3,0,0
"21",3,0,1,1,0
"22",3,0,1,0,1
"23",4,1,0,0,0
"24",4,2,0,0,0
"25",4,3,0,0,0
"26",4,4,0,0,0
"27",4,0,1,0,0
"28",4,0,2,0,0
"29",4,0,3,0,0
"30",4,0,4,0,0
"31",4,0,1,1,0
"32",4,0,1,0,1
"33",1,1,1,0,0
"34",1,1,1,1,0
"35",1,1,1,0,1
"36",2,1,1,0,0
"37",2,1,2,0,0
"38",2,1,1,1,0
"39",2,1,1,0,1
"40",3,1,1,0,0
"41",3,1,2,0,0
"42",3,1,3,0,0
"43",3,1,1,1,0
"44",3,1,1,0,1
"45",4,1,1,0,0
"46",4,1,2,0,0
"47",4,1,3,0,0
"48",4,1,4,0,0
"49",4,1,1,1,0
"50",4,1,1,0,1
"51",2,2,1,0,0
"52",2,2,2,0,0
"53",2,2,1,1,0
"54",2,2,1,0,1
"55",3,2,1,0,0
"56",3,2,2,0,0
"57",3,2,3,0,0
"58",3,2,1,1,0
"59",3,2,1,0,1
"60",4,2,1,0,0
"61",4,2,2,0,0
"62",4,2,3,0,0
"63",4,2,4,0,0
"64",4,2,1,1,0
"65",4,2,1,0,1
"66",3,3,1,0,0
"67",3,3,2,0,0
"68",3,3,3,0,0
"69",3,3,1,1,0
"70",3,3,1,0,1
"71",4,3,1,0,0
"72",4,3,2,0,0
"73",4,3,3,0,0
"74",4,3,4,0,0
"75",4,3,1,1,0
"76",4,3,1,0,1
"77",4,4,1,0,0
"78",4,4,2,0,0
"79",4,4,3,0,0
"80",4,4,4,0,0
"81",4,4,1,1,0
"82",4,4,1,0,1
"83",2,0,2,1,0
"84",2,0,2,2,0
"85",2,0,2,0,1
"86",2,0,2,0,2
"87",3,0,2,1,0
"88",3,0,2,2,0
"89",3,0,2,0,1
"90",3,0,2,0,2
"91",4,0,2,1,0
"92",4,0,2,2,0
"93",4,0,2,0,1
"94",4,0,2,0,2
"95",2,1,2,1,0
"96",2,1,2,2,0
"97",2,1,2,0,1
"98",2,1,2,0,2
"99",3,1,2,1,0
"100",3,1,2,2,0
"101",3,1,2,0,1
"102",3,1,2,0,2
"103",4,1,2,1,0
"104",4,1,2,2,0
"105",4,1,2,0,1
"106",4,1,2,0,2
"107",2,2,2,1,0
"108",2,2,2,2,0
"109",2,2,2,0,1
"110",2,2,2,0,2
"111",3,2,2,1,0
"112",3,2,2,2,0
"113",3,2,2,0,1
"114",3,2,2,0,2
"115",4,2,2,1,0
"116",4,2,2,2,0
"117",4,2,2,0,1
"118",4,2,2,0,2
"119",3,3,2,1,0
"120",3,3,2,2,0
"121",3,3,2,0,1
"122",3,3,2,0,2
"123",4,3,2,1,0
"124",4,3,2,2,0
"125",4,3,2,0,1
"126",4,3,2,0,2
"127",4,4,2,1,0
"128",4,4,2,2,0
"129",4,4,2,0,1
"130",4,4,2,0,2
"131",3,0,3,1,0
"132",3,0,3,2,0
"133",3,0,3,3,0
"134",3,0,3,0,1
"135",3,0,3,0,2
"136",3,0,3,0,3
"137",4,0,3,1,0
"138",4,0,3,2,0
"139",4,0,3,3,0
"140",4,0,3,0,1
"141",4,0,3,0,2
"142",4,0,3,0,3
"143",3,1,3,1,0
"144",3,1,3,2,0
"145",3,1,3,3,0
"146",3,1,3,0,1
"147",3,1,3,0,2
