"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",1,1,0,0
"6",1,0,1,0
"7",1,1,1,1
"8",2,1,0,0
"9",2,2,0,0
"10",2,0,1,0
"11",2,0,2,0
"12",2,1,1,1
"13",3,1,0,0
"14",3,2,0,0
"15",3,3,0,0
"16",3,0,1,0
"17",3,0,2,0
"18",3,0,3,0
"19",3,1,1,1
"20",4,1,0,0
"21",4,2,0,0
"22",4,3,0,0
"23",4,4,0,0
"24",4,0,1,0
"25",4,0,2,0
"26",4,0,3,0
"27",4,0,4,0
"28",4,1,1,1
"29",1,1,1,0
"30",2,1,1,0
"31",2,1,2,0
"32",3,1,1,0
"33",3,1,2,0
"34",3,1,3,0
"35",4,1,1,0
"36",4,1,2,0
"37",4,1,3,0
"38",4,1,4,0
"39",2,2,1,0
"40",2,2,2,0
"41",2,2,1,1
"42",3,2,1,0
"43",3,2,2,0
"44",3,2,3,0
"45",3,2,1,1
"46",4,2,1,0
"47",4,2,2,0
"48",4,2,3,0
"49",4,2,4,0
"50",4,2,1,1
"51",3,3,1,0
"52",3,3,2,0
"53",3,3,3,0
"54",3,3,1,1
"55",4,3,1,0
"56",4,3,2,0
"57",4,3,3,0
"58",4,3,4,0
"59",4,3,1,1
"60",4,4,1,0
"61",4,4,2,0
"62",4,4,3,0
"63",4,4,4,0
"64",4,4,1,1
"65",2,1,2,1
"66",3,1,2,1
"67",4,1,2,1
"68",2,2,2,1
"69",2,2,2,2
"70",3,2,2,1
"71",3,2,2,2
"72",4,2,2,1
"73",4,2,2,2
"74",3,3,2,1
"75",3,3,2,2
"76",4,3,2,1
"77",4,3,2,2
"78",4,4,2,1
"79",4,4,2,2
"80",3,1,3,1
"81",4,1,3,1
"82",3,2,3,1
"83",3,2,3,2
"84",4,2,3,1
"85",4,2,3,2
"86",3,3,3,1
"87",3,3,3,2
"88",3,3,3,3
"89",4,3,3,1
"90",4,3,3,2
"91",4,3,3,3
"92",4,4,3,1
"93",4,4,3,2
"94",4,4,3,3
"95",4,1,4,1
"96",4,2,4,1
"97",4,2,4,2
"98",4,3,4,1
"99",4,3,4,2
"100",4,3,4,3
"101",4,4,4,1
"102",4,4,4,2
"103",4,4,4,3
"104",4,4,4,4
"105",0,0,0,0
