"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",4,0,0
"5",1,1,0
"6",1,1,1
"7",2,1,0
"8",2,2,0
"9",2,1,1
"10",3,1,0
"11",3,2,0
"12",3,3,0
"13",3,1,1
"14",4,1,0
"15",4,2,0
"16",4,3,0
"17",4,4,0
"18",4,1,1
"19",2,2,1
"20",2,2,2
"21",3,2,1
"22",3,2,2
"23",4,2,1
"24",4,2,2
"25",3,3,1
"26",3,3,2
"27",3,3,3
"28",4,3,1
"29",4,3,2
"30",4,3,3
"31",4,4,1
"32",4,4,2
"33",4,4,3
"34",4,4,4
"35",0,0,0
