"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",4,0,0,0
"5",1,1,0,0
"6",1,0,1,0
"7",1,0,1,1
"8",2,1,0,0
"9",2,2,0,0
"10",2,0,1,0
"11",2,0,2,0
"12",2,0,1,1
"13",3,1,0,0
"14",3,2,0,0
"15",3,3,0,0
"16",3,0,1,0
"17",3,0,2,0
"18",3,0,3,0
"19",3,0,1,1
"20",4,1,0,0
"21",4,2,0,0
"22",4,3,0,0
"23",4,4,0,0
"24",4,0,1,0
"25",4,0,2,0
"26",4,0,3,0
"27",4,0,4,0
"28",4,0,1,1
"29",1,1,1,0
"30",1,1,1,1
"31",2,1,1,0
"32",2,1,2,0
"33",2,1,1,1
"34",3,1,1,0
"35",3,1,2,0
"36",3,1,3,0
"37",3,1,1,1
"38",4,1,1,0
"39",4,1,2,0
"40",4,1,3,0
"41",4,1,4,0
"42",4,1,1,1
"43",2,2,1,0
"44",2,2,2,0
"45",2,2,1,1
"46",3,2,1,0
"47",3,2,2,0
"48",3,2,3,0
"49",3,2,1,1
"50",4,2,1,0
"51",4,2,2,0
"52",4,2,3,0
"53",4,2,4,0
"54",4,2,1,1
"55",3,3,1,0
"56",3,3,2,0
"57",3,3,3,0
"58",3,3,1,1
"59",4,3,1,0
"60",4,3,2,0
"61",4,3,3,0
"62",4,3,4,0
"63",4,3,1,1
"64",4,4,1,0
"65",4,4,2,0
"66",4,4,3,0
"67",4,4,4,0
"68",4,4,1,1
"69",2,0,2,1
"70",2,0,2,2
"71",3,0,2,1
"72",3,0,2,2
"73",4,0,2,1
"74",4,0,2,2
"75",2,1,2,1
"76",2,1,2,2
"77",3,1,2,1
"78",3,1,2,2
"79",4,1,2,1
"80",4,1,2,2
"81",2,2,2,1
"82",2,2,2,2
"83",3,2,2,1
"84",3,2,2,2
"85",4,2,2,1
"86",4,2,2,2
"87",3,3,2,1
"88",3,3,2,2
"89",4,3,2,1
"90",4,3,2,2
"91",4,4,2,1
"92",4,4,2,2
"93",3,0,3,1
"94",3,0,3,2
"95",3,0,3,3
"96",4,0,3,1
"97",4,0,3,2
"98",4,0,3,3
"99",3,1,3,1
"100",3,1,3,2
"101",3,1,3,3
"102",4,1,3,1
"103",4,1,3,2
"104",4,1,3,3
"105",3,2,3,1
"106",3,2,3,2
"107",3,2,3,3
"108",4,2,3,1
"109",4,2,3,2
"110",4,2,3,3
"111",3,3,3,1
"112",3,3,3,2
"113",3,3,3,3
"114",4,3,3,1
"115",4,3,3,2
"116",4,3,3,3
"117",4,4,3,1
"118",4,4,3,2
"119",4,4,3,3
"120",4,0,4,1
"121",4,0,4,2
"122",4,0,4,3
"123",4,0,4,4
"124",4,1,4,1
"125",4,1,4,2
"126",4,1,4,3
"127",4,1,4,4
"128",4,2,4,1
"129",4,2,4,2
"130",4,2,4,3
"131",4,2,4,4
"132",4,3,4,1
"133",4,3,4,2
"134",4,3,4,3
"135",4,3,4,4
"136",4,4,4,1
"137",4,4,4,2
"138",4,4,4,3
"139",4,4,4,4
"140",0,0,0,0
