"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",0,1,0
"5",0,2,0
"6",0,3,0
"7",1,1,1
"8",1,1,0
"9",1,2,0
"10",1,3,0
"11",2,1,0
"12",2,2,0
"13",2,3,0
"14",2,1,1
"15",3,1,0
"16",3,2,0
"17",3,3,0
"18",3,1,1
"19",1,2,1
"20",2,2,1
"21",2,2,2
"22",3,2,1
"23",3,2,2
"24",1,3,1
"25",2,3,1
"26",2,3,2
"27",3,3,1
"28",3,3,2
"29",3,3,3
"30",0,0,0
