"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",4,0,0
"5",1,1,1
"6",1,1,0
"7",2,1,0
"8",2,2,0
"9",2,1,1
"10",2,1,2
"11",3,1,0
"12",3,2,0
"13",3,3,0
"14",3,1,1
"15",3,1,2
"16",3,1,3
"17",4,1,0
"18",4,2,0
"19",4,3,0
"20",4,4,0
"21",4,1,1
"22",4,1,2
"23",4,1,3
"24",4,1,4
"25",2,2,1
"26",2,2,2
"27",3,2,1
"28",3,2,2
"29",3,2,3
"30",4,2,1
"31",4,2,2
"32",4,2,3
"33",4,2,4
"34",3,3,1
"35",3,3,2
"36",3,3,3
"37",4,3,1
"38",4,3,2
"39",4,3,3
"40",4,3,4
"41",4,4,1
"42",4,4,2
"43",4,4,3
"44",4,4,4
