"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",1,1,0,0
"5",1,1,1,0
"6",1,0,0,1
"7",1,0,0,2
"8",1,0,0,3
"9",2,1,0,0
"10",2,2,0,0
"11",2,1,1,0
"12",2,1,2,0
"13",2,0,0,1
"14",2,0,0,2
"15",2,0,0,3
"16",3,1,0,0
"17",3,2,0,0
"18",3,3,0,0
"19",3,1,1,0
"20",3,1,2,0
"21",3,1,3,0
"22",3,0,0,1
"23",3,0,0,2
"24",3,0,0,3
"25",1,1,0,1
"26",1,1,0,2
"27",1,1,0,3
"28",2,1,0,1
"29",2,1,0,2
"30",2,1,0,3
"31",3,1,0,1
"32",3,1,0,2
"33",3,1,0,3
"34",2,2,1,0
"35",2,2,2,0
"36",2,2,0,1
"37",2,2,0,2
"38",2,2,0,3
"39",3,2,1,0
"40",3,2,2,0
"41",3,2,3,0
"42",3,2,0,1
"43",3,2,0,2
"44",3,2,0,3
"45",3,3,1,0
"46",3,3,2,0
"47",3,3,3,0
"48",3,3,0,1
"49",3,3,0,2
"50",3,3,0,3
"51",1,1,1,1
"52",1,1,1,2
"53",1,1,1,3
"54",2,1,1,1
"55",2,1,1,2
"56",2,1,1,3
"57",3,1,1,1
"58",3,1,1,2
"59",3,1,1,3
"60",2,2,1,1
"61",2,2,1,2
"62",2,2,1,3
"63",3,2,1,1
"64",3,2,1,2
"65",3,2,1,3
"66",3,3,1,1
"67",3,3,1,2
"68",3,3,1,3
"69",2,1,2,1
"70",2,1,2,2
"71",2,1,2,3
"72",3,1,2,1
"73",3,1,2,2
"74",3,1,2,3
"75",2,2,2,1
"76",2,2,2,2
"77",2,2,2,3
"78",3,2,2,1
"79",3,2,2,2
"80",3,2,2,3
"81",3,3,2,1
"82",3,3,2,2
"83",3,3,2,3
"84",3,1,3,1
"85",3,1,3,2
"86",3,1,3,3
"87",3,2,3,1
"88",3,2,3,2
"89",3,2,3,3
"90",3,3,3,1
"91",3,3,3,2
"92",3,3,3,3
