"","V1","V2","V3"
"1",1,0,0
"2",2,0,0
"3",3,0,0
"4",1,1,0
"5",1,1,1
"6",2,1,0
"7",2,2,0
"8",2,1,1
"9",2,1,2
"10",3,1,0
"11",3,2,0
"12",3,3,0
"13",3,1,1
"14",3,1,2
"15",3,1,3
"16",2,2,1
"17",2,2,2
"18",3,2,1
"19",3,2,2
"20",3,2,3
"21",3,3,1
"22",3,3,2
"23",3,3,3
