"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",3,0,0,0,0
"4",1,1,0,0,0
"5",1,1,1,0,0
"6",1,1,0,1,0
"7",1,1,0,2,0
"8",1,1,0,3,0
"9",1,1,1,1,1
"10",1,1,1,1,2
"11",1,1,1,1,3
"12",2,1,0,0,0
"13",2,2,0,0,0
"14",2,1,1,0,0
"15",2,1,2,0,0
"16",2,1,0,1,0
"17",2,1,0,2,0
"18",2,1,0,3,0
"19",2,1,1,1,1
"20",2,1,1,1,2
"21",2,1,1,1,3
"22",3,1,0,0,0
"23",3,2,0,0,0
"24",3,3,0,0,0
"25",3,1,1,0,0
"26",3,1,2,0,0
"27",3,1,3,0,0
"28",3,1,0,1,0
"29",3,1,0,2,0
"30",3,1,0,3,0
"31",3,1,1,1,1
"32",3,1,1,1,2
"33",3,1,1,1,3
"34",2,2,1,0,0
"35",2,2,2,0,0
"36",2,2,0,1,0
"37",2,2,0,2,0
"38",2,2,0,3,0
"39",2,2,1,1,1
"40",2,2,1,1,2
"41",2,2,1,1,3
"42",3,2,1,0,0
"43",3,2,2,0,0
"44",3,2,3,0,0
"45",3,2,0,1,0
"46",3,2,0,2,0
"47",3,2,0,3,0
"48",3,2,1,1,1
"49",3,2,1,1,2
"50",3,2,1,1,3
"51",3,3,1,0,0
"52",3,3,2,0,0
"53",3,3,3,0,0
"54",3,3,0,1,0
"55",3,3,0,2,0
"56",3,3,0,3,0
"57",3,3,1,1,1
"58",3,3,1,1,2
"59",3,3,1,1,3
"60",1,1,1,1,0
"61",1,1,1,2,0
"62",1,1,1,3,0
"63",2,1,1,1,0
"64",2,1,1,2,0
"65",2,1,1,3,0
"66",3,1,1,1,0
"67",3,1,1,2,0
"68",3,1,1,3,0
"69",2,2,1,1,0
"70",2,2,1,2,0
"71",2,2,1,3,0
"72",3,2,1,1,0
"73",3,2,1,2,0
"74",3,2,1,3,0
"75",3,3,1,1,0
"76",3,3,1,2,0
"77",3,3,1,3,0
"78",2,1,2,1,0
"79",2,1,2,2,0
"80",2,1,2,3,0
"81",2,1,2,1,1
"82",2,1,2,1,2
"83",2,1,2,1,3
"84",3,1,2,1,0
"85",3,1,2,2,0
"86",3,1,2,3,0
"87",3,1,2,1,1
"88",3,1,2,1,2
"89",3,1,2,1,3
"90",2,2,2,1,0
"91",2,2,2,2,0
"92",2,2,2,3,0
"93",2,2,2,1,1
"94",2,2,2,1,2
"95",2,2,2,1,3
"96",3,2,2,1,0
"97",3,2,2,2,0
"98",3,2,2,3,0
"99",3,2,2,1,1
"100",3,2,2,1,2
"101",3,2,2,1,3
"102",3,3,2,1,0
"103",3,3,2,2,0
"104",3,3,2,3,0
"105",3,3,2,1,1
"106",3,3,2,1,2
"107",3,3,2,1,3
"108",3,1,3,1,0
"109",3,1,3,2,0
"110",3,1,3,3,0
"111",3,1,3,1,1
"112",3,1,3,1,2
"113",3,1,3,1,3
"114",3,2,3,1,0
"115",3,2,3,2,0
"116",3,2,3,3,0
"117",3,2,3,1,1
"118",3,2,3,1,2
"119",3,2,3,1,3
"120",3,3,3,1,0
"121",3,3,3,2,0
"122",3,3,3,3,0
"123",3,3,3,1,1
"124",3,3,3,1,2
"125",3,3,3,1,3
"126",1,1,1,2,1
"127",1,1,1,2,2
"128",1,1,1,2,3
"129",2,1,1,2,1
"130",2,1,1,2,2
"131",2,1,1,2,3
"132",3,1,1,2,1
"133",3,1,1,2,2
"134",3,1,1,2,3
"135",2,2,1,2,1
"136",2,2,1,2,2
"137",2,2,1,2,3
"138",3,2,1,2,1
"139",3,2,1,2,2
"140",3,2,1,2,3
"141",3,3,1,2,1
"142",3,3,1,2,2
"143",3,3,1,2,3
"144",2,1,2,2,1
"145",2,1,2,2,2
"146",2,1,2,2,3
"147",3,1,2,2,1
"148",3,1,2,2,2
"149",3,1,2,2,3
"150",2,2,2,2,1
"151",2,2,2,2,2
"152",2,2,2,2,3
"153",3,2,2,2,1
"154",3,2,2,2,2
"155",3,2,2,2,3
"156",3,3,2,2,1
"157",3,3,2,2,2
"158",3,3,2,2,3
"159",3,1,3,2,1
"160",3,1,3,2,2
"161",3,1,3,2,3
"162",3,2,3,2,1
"163",3,2,3,2,2
"164",3,2,3,2,3
"165",3,3,3,2,1
"166",3,3,3,2,2
"167",3,3,3,2,3
"168",1,1,1,3,1
"169",1,1,1,3,2
"170",1,1,1,3,3
"171",2,1,1,3,1
"172",2,1,1,3,2
"173",2,1,1,3,3
"174",3,1,1,3,1
"175",3,1,1,3,2
"176",3,1,1,3,3
"177",2,2,1,3,1
"178",2,2,1,3,2
"179",2,2,1,3,3
"180",3,2,1,3,1
"181",3,2,1,3,2
"182",3,2,1,3,3
"183",3,3,1,3,1
"184",3,3,1,3,2
"185",3,3,1,3,3
"186",2,1,2,3,1
"187",2,1,2,3,2
"188",2,1,2,3,3
"189",3,1,2,3,1
"190",3,1,2,3,2
"191",3,1,2,3,3
"192",2,2,2,3,1
"193",2,2,2,3,2
"194",2,2,2,3,3
"195",3,2,2,3,1
"196",3,2,2,3,2
"197",3,2,2,3,3
"198",3,3,2,3,1
"199",3,3,2,3,2
"200",3,3,2,3,3
"201",3,1,3,3,1
"202",3,1,3,3,2
"203",3,1,3,3,3
"204",3,2,3,3,1
"205",3,2,3,3,2
"206",3,2,3,3,3
"207",3,3,3,3,1
"208",3,3,3,3,2
"209",3,3,3,3,3
