"","V1","V2","V3","V4"
"1",1,0,0,0
"2",2,0,0,0
"3",3,0,0,0
"4",1,1,0,0
"5",1,1,1,0
"6",1,1,1,1
"7",1,1,1,2
"8",1,1,1,3
"9",2,1,0,0
"10",2,2,0,0
"11",2,1,1,0
"12",2,1,2,0
"13",2,1,1,1
"14",2,1,1,2
"15",2,1,1,3
"16",3,1,0,0
"17",3,2,0,0
"18",3,3,0,0
"19",3,1,1,0
"20",3,1,2,0
"21",3,1,3,0
"22",3,1,1,1
"23",3,1,1,2
"24",3,1,1,3
"25",2,2,1,0
"26",2,2,2,0
"27",2,2,1,1
"28",2,2,1,2
"29",2,2,1,3
"30",3,2,1,0
"31",3,2,2,0
"32",3,2,3,0
"33",3,2,1,1
"34",3,2,1,2
"35",3,2,1,3
"36",3,3,1,0
"37",3,3,2,0
"38",3,3,3,0
"39",3,3,1,1
"40",3,3,1,2
"41",3,3,1,3
"42",2,1,2,1
"43",2,1,2,2
"44",2,1,2,3
"45",3,1,2,1
"46",3,1,2,2
"47",3,1,2,3
"48",2,2,2,1
"49",2,2,2,2
"50",2,2,2,3
"51",3,2,2,1
"52",3,2,2,2
"53",3,2,2,3
"54",3,3,2,1
"55",3,3,2,2
"56",3,3,2,3
"57",3,1,3,1
"58",3,1,3,2
"59",3,1,3,3
"60",3,2,3,1
"61",3,2,3,2
"62",3,2,3,3
"63",3,3,3,1
"64",3,3,3,2
"65",3,3,3,3
